applicant_id,annual_income,self_reported_debt,self_reported_expenses,requested_amount,age,province,employment_status,months_employed
APP00001,49702.71865901624,536.6908033030757,696.5764939396047,48201.45829284102,44,BC,Full-time,282
APP00002,57759.265798905486,904.9565213898561,3433.1212386740617,36704.574102262,60,ON,Unemployed,0
APP00003,61225.0052453479,672.3132837921758,7435.668188085169,32569.900660394607,51,ON,Unemployed,0
APP00004,38254.62913590969,773.5565076115638,9808.978559188912,14815.106947211167,68,ON,Full-time,77
APP00005,69491.33206728783,1260.890908898148,4843.509163111019,10049.65760299652,61,BC,Part-time,314
APP00006,36535.064686946054,397.69052073840857,8970.915947352809,7869.627833828633,88,BC,Full-time,246
APP00007,52084.853235224684,597.1051634292271,9358.515603322217,46265.64139721088,69,ON,Full-time,372
APP00008,75965.95552911072,1388.846077573486,1035.17101580481,16534.05432788744,51,BC,Part-time,213
APP00009,33915.028123934375,457.3377496500078,9701.816450685727,26321.853596074536,73,BC,Unemployed,0
APP00010,37907.22651519588,535.8284008691951,9455.05593177874,49799.45583719793,44,BC,Part-time,389
APP00011,44101.023264051146,844.6034269567377,5637.260506570946,38696.611013887705,59,BC,Part-time,355
APP00012,37467.8966257848,365.70672289172416,5721.042858037936,7602.469967265256,75,ON,Part-time,502
APP00013,40694.45643928117,747.12112507475,3336.0045943746863,1340.971060279011,36,BC,Part-time,189
APP00014,54645.12713239993,474.0245933568635,6093.10775196432,16484.947397351763,66,ON,Part-time,194
APP00015,36642.210350842026,757.0222581682381,7124.066543075578,26209.346023789127,65,BC,Unemployed,0
APP00016,87471.71753086317,1425.2519431952333,4295.880829755731,40765.95073931801,73,ON,Unemployed,0
APP00017,43398.86805773039,598.852964701174,6789.841513408187,34106.647120092406,55,BC,Unemployed,0
APP00018,99694.56051688665,2096.6851133267583,8144.212939583014,44423.23594501033,80,BC,Unemployed,0
APP00019,100626.54573047944,1522.9611780148643,4343.10563172411,7857.0325689039755,41,BC,Part-time,345
APP00020,73493.32996885301,1004.8266016953237,2102.1163579252643,5093.16562803534,81,BC,Full-time,382
APP00021,26336.30642290178,451.7048674704232,9191.137346435158,30208.371976771083,48,BC,Full-time,57
APP00022,32011.49489515405,345.84640131846305,4637.5942059503805,33439.54322974205,79,ON,Part-time,45
APP00023,48535.8163602107,838.179484054311,8132.364804348602,36012.357805177395,92,ON,Full-time,443
APP00024,30211.67937449533,258.2943597636977,6347.510859749756,32426.475829125226,53,ON,Unemployed,0
APP00025,89511.63676509597,1914.08409394389,916.3538208269196,20740.44739298727,67,ON,Full-time,367
APP00026,26716.915519317256,636.4783199530109,8693.423476011498,40071.414216364676,43,BC,Unemployed,0
APP00027,61688.552494813666,596.4856969739137,5521.214925992413,23686.192018997477,52,ON,Full-time,436
APP00028,46329.3102688654,608.2865111544315,3524.107013420086,39433.63634746584,99,BC,Part-time,114
APP00029,86493.56362925119,1538.752298616496,2666.671685845965,14195.093771157904,64,BC,Unemployed,0
APP00030,31881.4240804532,478.3959916698351,267.5041240143028,33813.44917042029,86,BC,Unemployed,0
APP00031,83139.03852636032,823.9430263602197,165.17262243356478,7841.071802708628,27,ON,Unemployed,0
APP00032,60580.74331740976,735.1396547130556,509.0121235576206,34589.3484707113,53,BC,Unemployed,0
APP00033,42799.40140022177,598.4312409998507,1743.3905553300476,12280.208708000497,70,ON,Unemployed,0
APP00034,72165.14884404918,1574.0212412246094,4413.483980941528,14178.009477378395,27,ON,Full-time,411
APP00035,92900.63678129853,1539.5026488523497,8661.846686695251,47126.87499503797,96,BC,Part-time,2
APP00036,38714.714371850634,870.4766967638382,146.4884674056177,19310.940004613425,65,BC,Unemployed,0
APP00037,44124.72579578729,651.7614275318873,2255.7649141869683,9567.215246354177,35,ON,Unemployed,0
APP00038,23800.276994952812,396.59927825900087,9485.5419392494,36909.870426308866,88,BC,Unemployed,0
APP00039,39925.74982374094,983.7698423460702,6997.9431359005575,18953.893973775113,80,BC,Unemployed,0
APP00040,37689.86092456663,532.8089653072952,7495.094040892871,21187.94997295273,54,ON,Full-time,593
APP00041,58215.126788494665,1027.5362759027212,7481.825831871804,16518.899102152765,98,BC,Unemployed,0
APP00042,57843.90214855695,576.1108720983776,4208.497427773047,12165.648380976087,33,ON,Unemployed,0
APP00043,46461.502060916144,673.2956982310894,223.27305538349717,18135.81510821091,20,BC,Full-time,576
APP00044,41634.136217853986,848.7603231523714,3533.1536422996037,37670.30973336086,57,ON,Part-time,248
APP00045,80480.66312272631,1667.3789355744707,7681.564619983294,38756.669247495316,84,ON,Unemployed,0
APP00046,56701.8464323961,760.6543050269763,5015.841533428929,3699.661717740634,74,ON,Full-time,448
APP00047,105449.30055969083,2407.199166871288,3806.5685644005,37481.929099662375,88,BC,Unemployed,0
APP00048,78124.77747670737,1278.7080293699166,8932.40927833133,7000.854536961488,63,BC,Part-time,305
APP00049,37347.40187100074,356.3661601001027,6485.481108419034,42616.53430744793,81,ON,Unemployed,0
APP00050,37750.44387525686,365.946188918185,6000.650340540095,9884.316398160305,89,ON,Part-time,98
APP00051,66286.61706347074,1589.7720984316759,7417.790290471219,22199.803017682916,97,ON,Full-time,306
APP00052,37991.38935792853,319.68727725580214,1178.9549828935853,35988.47641564075,59,ON,Full-time,173
APP00053,59021.886996482826,1449.6964446168683,5693.172917169082,11391.103822800274,50,BC,Part-time,339
APP00054,64687.941527551935,1020.1989393959298,4378.47941661585,11345.043659228708,56,BC,Part-time,237
APP00055,65975.2497286678,1148.3290542866428,1352.2721615683743,19849.325684468873,53,BC,Full-time,372
APP00056,65472.904329252764,1212.043230821533,7193.3401034382805,11381.037698453325,92,ON,Part-time,379
APP00057,41325.12072439651,804.1019159429945,5590.190651843363,16864.50062824804,26,ON,Full-time,445
APP00058,31281.640993415385,620.1178828197199,8418.454723040772,11853.497137005323,34,BC,Full-time,222
APP00059,24795.386821850352,400.50062328789454,1114.7117500476734,41700.059393411284,56,ON,Unemployed,0
APP00060,50449.29281105734,455.49373382427433,3241.562107402219,14957.58745606068,99,BC,Unemployed,0
APP00061,113968.8892503815,2175.9373858600707,5280.86933002703,48093.21355414494,99,ON,Unemployed,0
APP00062,25403.229159635855,423.30779193508346,6504.83279290088,19053.55152098499,81,ON,Full-time,135
APP00063,95725.52357142148,2344.7159912808893,8660.965157706862,47143.22990753401,49,BC,Part-time,197
APP00064,26333.681724308462,521.3036979597315,7974.893389669562,27015.106948252836,75,BC,Unemployed,0
APP00065,33810.25879707667,655.0553861544302,1998.1848499566668,14287.087528854267,33,BC,Unemployed,0
APP00066,45209.92565224732,449.9973386503007,5385.738056089469,26039.616504682646,49,ON,Full-time,598
APP00067,97243.01565724201,1450.5580461325546,6326.1436113696645,45407.258427004985,32,BC,Part-time,280
APP00068,38012.146034360914,792.4772514971316,2145.2928685884876,44389.64993574043,61,ON,Full-time,326
APP00069,78550.87117536212,1391.2947809942266,794.8440262062295,16379.487496499942,59,ON,Full-time,92
APP00070,87215.72434560243,1197.2905312463954,5714.329642268343,45644.34863712891,71,ON,Full-time,496
APP00071,88299.84238526164,1050.2930050950918,9607.870996041835,41037.217313031244,58,BC,Unemployed,0
APP00072,56488.120485728236,1141.871573716784,6934.406154947449,45049.59781963179,89,ON,Part-time,286
APP00073,67946.67859677848,1326.311236533099,6959.387845141008,27064.75640605838,39,ON,Full-time,387
APP00074,71297.71779064221,659.9681532157038,3464.4108062475275,49137.027265624725,23,ON,Full-time,165
APP00075,78998.22537099513,1695.846678066966,4651.986007291873,26392.935968933907,21,ON,Full-time,190
APP00076,56679.08190858282,700.155124705515,9441.319163380751,16030.969849741083,38,ON,Full-time,403
APP00077,48546.727465439304,624.1743320053353,2668.089711803723,16387.99283565525,83,BC,Full-time,423
APP00078,17841.248134847345,265.99438984462347,6620.111308234089,11118.95701033886,99,ON,Part-time,4
APP00079,34512.55246701051,530.5722916356433,7501.655971320736,18092.509466936917,21,BC,Part-time,1
APP00080,54185.11036477159,1227.788661025459,2854.515106956741,23926.376002018147,76,ON,Part-time,439
APP00081,91257.51034493605,1195.993732114561,653.7751269100033,44566.035943577255,34,ON,Part-time,439
APP00082,151181.59474958104,1893.613818550314,6471.405434074942,14835.491594433968,76,ON,Part-time,443
APP00083,51718.21179298681,1002.0520973943354,5947.244352038754,18069.249161459644,82,ON,Part-time,77
APP00084,46114.27279681945,803.2468276354027,9980.80976673326,43377.33096115416,37,ON,Part-time,170
APP00085,32421.829782695706,775.4978576921857,2343.127703841631,26762.43030984269,38,BC,Full-time,301
APP00086,93913.08538799934,1847.4484528787314,8164.681404858487,46180.71975997451,67,BC,Unemployed,0
